"id","fingerprint","createdAt","updatedAt","student","subject"
"1","http://www.google.com","2022-09-14","2022-10-02","VU4F1920001","4"
"2","http://www.google.com","2022-09-19","2022-10-02","VU4F1920002","39"
"3","http://www.google.com","2022-09-08","2022-10-02","VU4F1920003","57"
"4","http://www.google.com","2022-09-28","2022-10-02","VU4F1920004","41"
"5","http://www.google.com","2022-08-31","2022-10-02","VU4F1920005","39"
"6","http://www.google.com","2022-09-29","2022-10-02","VU4F1920006","53"
"7","http://www.google.com","2022-08-31","2022-10-02","VU4F1920007","50"
"8","http://www.google.com","2022-08-31","2022-10-02","VU4F1920008","38"
"9","http://www.google.com","2022-09-27","2022-10-02","VU4F1920009","42"
"10","http://www.google.com","2022-09-11","2022-10-02","VU4F19200010","40"
"11","http://www.google.com","2022-08-31","2022-10-02","VU4F1920011","18"
"12","http://www.google.com","2022-09-18","2022-10-02","VU4F1920012","51"
"13","http://www.google.com","2022-09-21","2022-10-02","VU4F1920013","40"
"14","http://www.google.com","2022-09-20","2022-10-02","VU4F1920014","35"
"15","http://www.google.com","2022-08-31","2022-10-02","VU4F1920015","37"
"16","http://www.google.com","2022-09-06","2022-10-02","VU4F1920016","52"
"17","http://www.google.com","2022-09-06","2022-10-02","VU4F1920017","53"
"18","http://www.google.com","2022-09-12","2022-10-02","VU4F1920019","35"
"19","http://www.google.com","2022-09-11","2022-10-02","VU4F1920022","47"
"20","http://www.google.com","2022-09-25","2022-10-02","VU4F1920023","18"
"21","http://www.google.com","2022-09-08","2022-10-02","VU4F1920024","55"
"22","http://www.google.com","2022-09-14","2022-10-02","VU4F1920025","41"
"23","http://www.google.com","2022-09-12","2022-10-02","VU4F1920020","35"
"24","http://www.google.com","2022-09-07","2022-10-02","VU4F1920027","41"
"25","http://www.google.com","2022-08-31","2022-10-02","VU4F1920028","18"
"26","http://www.google.com","2022-08-31","2022-10-02","VU4F1920029","48"
"27","http://www.google.com","2022-09-11","2022-10-02","VU4F1920030","43"
"28","http://www.google.com","2022-09-28","2022-10-02","VU4F1920031","43"
"29","http://www.google.com","2022-09-27","2022-10-02","VU4F1920032","40"
"30","http://www.google.com","2022-09-26","2022-10-02","VU4F1920033","57"
"31","http://www.google.com","2022-09-20","2022-10-02","VU4F1920034","51"
"32","http://www.google.com","2022-09-28","2022-10-02","VU4F1920035","57"
"33","http://www.google.com","2022-09-08","2022-10-02","VU4F1920036","4"
"34","http://www.google.com","2022-08-31","2022-10-02","VU4F1920037","57"
"35","http://www.google.com","2022-09-22","2022-10-02","VU4F1920038","57"
"36","http://www.google.com","2022-09-26","2022-10-02","VU4F1920039","39"
"37","http://www.google.com","2022-08-31","2022-10-02","VU4F1920040","21"
"38","http://www.google.com","2022-09-29","2022-10-02","VU4F1920041","56"
"39","http://www.google.com","2022-09-25","2022-10-02","VU4F1920042","35"
"40","http://www.google.com","2022-09-20","2022-10-02","VU4F1920026","39"
"41","http://www.google.com","2022-09-18","2022-10-02","VU4F1920044","34"
"42","http://www.google.com","2022-09-21","2022-10-02","VU4F1920045","4"
"43","http://www.google.com","2022-09-27","2022-10-02","VU4F1920046","57"
"44","http://www.google.com","2022-09-13","2022-10-02","VU4F1920047","39"
"45","http://www.google.com","2022-09-11","2022-10-02","VU4F1920048","48"
"46","http://www.google.com","2022-09-06","2022-10-02","VU4F1920049","3"
"47","http://www.google.com","2022-09-18","2022-10-02","VU4F1920050","37"
"48","http://www.google.com","2022-09-21","2022-10-02","VU4F1920043","19"
"49","http://www.google.com","2022-09-27","2022-10-02","VU4F1920018","49"
"50","http://www.google.com","2022-09-28","2022-10-02","VU4F1920021","42"
"51","http://www.google.com","2022-09-12","2022-10-02","VU4F1920001","4"
"52","http://www.google.com","2022-08-31","2022-10-02","VU4F1920002","39"
"53","http://www.google.com","2022-09-26","2022-10-02","VU4F1920003","57"
"54","http://www.google.com","2022-09-01","2022-10-02","VU4F1920004","41"
"55","http://www.google.com","2022-09-20","2022-10-02","VU4F1920005","39"
"56","http://www.google.com","2022-09-04","2022-10-02","VU4F1920006","53"
"57","http://www.google.com","2022-09-07","2022-10-02","VU4F1920007","50"
"58","http://www.google.com","2022-09-26","2022-10-02","VU4F1920008","38"
"59","http://www.google.com","2022-09-07","2022-10-02","VU4F1920009","42"
"60","http://www.google.com","2022-09-04","2022-10-02","VU4F19200010","40"
"61","http://www.google.com","2022-09-22","2022-10-02","VU4F1920011","18"
"62","http://www.google.com","2022-09-13","2022-10-02","VU4F1920012","51"
"63","http://www.google.com","2022-09-07","2022-10-02","VU4F1920013","40"
"64","http://www.google.com","2022-09-01","2022-10-02","VU4F1920014","35"
"65","http://www.google.com","2022-09-12","2022-10-02","VU4F1920015","37"
"66","http://www.google.com","2022-09-20","2022-10-02","VU4F1920016","52"
"67","http://www.google.com","2022-09-11","2022-10-02","VU4F1920017","53"
"68","http://www.google.com","2022-09-15","2022-10-02","VU4F1920019","35"
"69","http://www.google.com","2022-09-12","2022-10-02","VU4F1920022","47"
"70","http://www.google.com","2022-09-20","2022-10-02","VU4F1920023","18"
"71","http://www.google.com","2022-09-01","2022-10-02","VU4F1920024","55"
"72","http://www.google.com","2022-09-26","2022-10-02","VU4F1920025","41"
"73","http://www.google.com","2022-09-19","2022-10-02","VU4F1920020","35"
"74","http://www.google.com","2022-09-21","2022-10-02","VU4F1920027","41"
"75","http://www.google.com","2022-09-11","2022-10-02","VU4F1920028","18"
"76","http://www.google.com","2022-09-25","2022-10-02","VU4F1920029","48"
"77","http://www.google.com","2022-09-25","2022-10-02","VU4F1920030","43"
"78","http://www.google.com","2022-09-07","2022-10-02","VU4F1920031","43"
"79","http://www.google.com","2022-09-19","2022-10-02","VU4F1920032","40"
"80","http://www.google.com","2022-09-27","2022-10-02","VU4F1920033","57"
"81","http://www.google.com","2022-09-01","2022-10-02","VU4F1920034","51"
"82","http://www.google.com","2022-09-25","2022-10-02","VU4F1920035","57"
"83","http://www.google.com","2022-09-20","2022-10-02","VU4F1920036","4"
"84","http://www.google.com","2022-09-13","2022-10-02","VU4F1920037","57"
"85","http://www.google.com","2022-09-15","2022-10-02","VU4F1920038","57"
"86","http://www.google.com","2022-09-14","2022-10-02","VU4F1920039","39"
"87","http://www.google.com","2022-09-01","2022-10-02","VU4F1920040","21"
"88","http://www.google.com","2022-08-31","2022-10-02","VU4F1920041","56"
"89","http://www.google.com","2022-09-22","2022-10-02","VU4F1920042","35"
"90","http://www.google.com","2022-09-15","2022-10-02","VU4F1920026","39"
"91","http://www.google.com","2022-09-01","2022-10-02","VU4F1920044","34"
"92","http://www.google.com","2022-09-20","2022-10-02","VU4F1920045","4"
"93","http://www.google.com","2022-09-28","2022-10-02","VU4F1920046","57"
"94","http://www.google.com","2022-09-26","2022-10-02","VU4F1920047","39"
"95","http://www.google.com","2022-08-31","2022-10-02","VU4F1920048","48"
"96","http://www.google.com","2022-09-07","2022-10-02","VU4F1920049","3"
"97","http://www.google.com","2022-09-04","2022-10-02","VU4F1920050","37"
"98","http://www.google.com","2022-09-04","2022-10-02","VU4F1920043","19"
"99","http://www.google.com","2022-08-31","2022-10-02","VU4F1920018","49"
"100","http://www.google.com","2022-09-22","2022-10-02","VU4F1920021","42"
"101","http://www.google.com","2022-09-21","2022-10-02","VU4F1920001","4"
"102","http://www.google.com","2022-09-08","2022-10-02","VU4F1920002","39"
"103","http://www.google.com","2022-09-13","2022-10-02","VU4F1920003","57"
"104","http://www.google.com","2022-09-18","2022-10-02","VU4F1920004","41"
"105","http://www.google.com","2022-09-01","2022-10-02","VU4F1920005","39"
"106","http://www.google.com","2022-09-12","2022-10-02","VU4F1920006","53"
"107","http://www.google.com","2022-09-04","2022-10-02","VU4F1920007","50"
"108","http://www.google.com","2022-09-19","2022-10-02","VU4F1920008","38"
"109","http://www.google.com","2022-09-19","2022-10-02","VU4F1920009","42"
"110","http://www.google.com","2022-09-29","2022-10-02","VU4F19200010","40"
"111","http://www.google.com","2022-09-06","2022-10-02","VU4F1920011","18"
"112","http://www.google.com","2022-09-11","2022-10-02","VU4F1920012","51"
"113","http://www.google.com","2022-09-18","2022-10-02","VU4F1920013","40"
"114","http://www.google.com","2022-09-12","2022-10-02","VU4F1920014","35"
"115","http://www.google.com","2022-09-18","2022-10-02","VU4F1920015","37"
"116","http://www.google.com","2022-09-14","2022-10-02","VU4F1920016","52"
"117","http://www.google.com","2022-09-08","2022-10-02","VU4F1920017","53"
"118","http://www.google.com","2022-09-21","2022-10-02","VU4F1920019","35"
"119","http://www.google.com","2022-09-14","2022-10-02","VU4F1920022","47"
"120","http://www.google.com","2022-09-07","2022-10-02","VU4F1920023","18"
"121","http://www.google.com","2022-09-28","2022-10-02","VU4F1920024","55"
"122","http://www.google.com","2022-09-20","2022-10-02","VU4F1920025","41"
"123","http://www.google.com","2022-09-21","2022-10-02","VU4F1920020","35"
"124","http://www.google.com","2022-08-31","2022-10-02","VU4F1920027","41"
"125","http://www.google.com","2022-09-05","2022-10-02","VU4F1920028","18"
"126","http://www.google.com","2022-09-20","2022-10-02","VU4F1920029","48"
"127","http://www.google.com","2022-09-19","2022-10-02","VU4F1920030","43"
"128","http://www.google.com","2022-09-29","2022-10-02","VU4F1920031","43"
"129","http://www.google.com","2022-09-04","2022-10-02","VU4F1920032","40"
"130","http://www.google.com","2022-09-01","2022-10-02","VU4F1920033","57"
"131","http://www.google.com","2022-09-26","2022-10-02","VU4F1920034","51"
"132","http://www.google.com","2022-08-31","2022-10-02","VU4F1920035","57"
"133","http://www.google.com","2022-09-22","2022-10-02","VU4F1920036","4"
"134","http://www.google.com","2022-09-22","2022-10-02","VU4F1920037","57"
"135","http://www.google.com","2022-09-05","2022-10-02","VU4F1920038","57"
"136","http://www.google.com","2022-09-12","2022-10-02","VU4F1920039","39"
"137","http://www.google.com","2022-09-04","2022-10-02","VU4F1920040","21"
"138","http://www.google.com","2022-09-04","2022-10-02","VU4F1920041","56"
"139","http://www.google.com","2022-09-29","2022-10-02","VU4F1920042","35"
"140","http://www.google.com","2022-09-08","2022-10-02","VU4F1920026","39"
"141","http://www.google.com","2022-09-08","2022-10-02","VU4F1920044","34"
"142","http://www.google.com","2022-09-15","2022-10-02","VU4F1920045","4"
"143","http://www.google.com","2022-08-31","2022-10-02","VU4F1920046","57"
"144","http://www.google.com","2022-09-06","2022-10-02","VU4F1920047","39"
"145","http://www.google.com","2022-09-15","2022-10-02","VU4F1920048","48"
"146","http://www.google.com","2022-09-27","2022-10-02","VU4F1920049","3"
"147","http://www.google.com","2022-09-15","2022-10-02","VU4F1920050","37"
"148","http://www.google.com","2022-09-27","2022-10-02","VU4F1920043","19"
"149","http://www.google.com","2022-09-12","2022-10-02","VU4F1920018","49"
"150","http://www.google.com","2022-09-04","2022-10-02","VU4F1920021","42"
"151","http://www.google.com","2022-09-18","2022-10-02","VU4F1920001","4"
"152","http://www.google.com","2022-09-26","2022-10-02","VU4F1920002","39"
"153","http://www.google.com","2022-09-07","2022-10-02","VU4F1920003","57"
"154","http://www.google.com","2022-09-04","2022-10-02","VU4F1920004","41"
"155","http://www.google.com","2022-09-18","2022-10-02","VU4F1920005","39"
"156","http://www.google.com","2022-09-27","2022-10-02","VU4F1920006","53"
"157","http://www.google.com","2022-09-14","2022-10-02","VU4F1920007","50"
"158","http://www.google.com","2022-09-11","2022-10-02","VU4F1920008","38"
"159","http://www.google.com","2022-08-31","2022-10-02","VU4F1920009","42"
"160","http://www.google.com","2022-09-12","2022-10-02","VU4F19200010","40"
"161","http://www.google.com","2022-09-20","2022-10-02","VU4F1920011","22"
"162","http://www.google.com","2022-09-12","2022-10-02","VU4F1920012","51"
"163","http://www.google.com","2022-09-12","2022-10-02","VU4F1920013","40"
"164","http://www.google.com","2022-09-25","2022-10-02","VU4F1920014","35"
"165","http://www.google.com","2022-09-27","2022-10-02","VU4F1920015","37"
"166","http://www.google.com","2022-09-05","2022-10-02","VU4F1920016","52"
"167","http://www.google.com","2022-09-18","2022-10-02","VU4F1920017","53"
"168","http://www.google.com","2022-09-29","2022-10-02","VU4F1920019","35"
"169","http://www.google.com","2022-09-20","2022-10-02","VU4F1920022","47"
"170","http://www.google.com","2022-09-26","2022-10-02","VU4F1920023","18"
"171","http://www.google.com","2022-09-01","2022-10-02","VU4F1920025","41"
"172","http://www.google.com","2022-09-04","2022-10-02","VU4F1920020","35"
"173","http://www.google.com","2022-09-20","2022-10-02","VU4F1920027","41"
"174","http://www.google.com","2022-09-04","2022-10-02","VU4F1920028","18"
"175","http://www.google.com","2022-09-22","2022-10-02","VU4F1920029","48"
"176","http://www.google.com","2022-09-18","2022-10-02","VU4F1920030","43"
"177","http://www.google.com","2022-09-15","2022-10-02","VU4F1920031","43"
"178","http://www.google.com","2022-09-14","2022-10-02","VU4F1920032","40"
"179","http://www.google.com","2022-09-15","2022-10-02","VU4F1920033","57"
"180","http://www.google.com","2022-09-13","2022-10-02","VU4F1920034","51"
"181","http://www.google.com","2022-09-26","2022-10-02","VU4F1920035","57"
"182","http://www.google.com","2022-09-25","2022-10-02","VU4F1920036","4"
"183","http://www.google.com","2022-09-04","2022-10-02","VU4F1920037","57"
"184","http://www.google.com","2022-09-20","2022-10-02","VU4F1920038","57"
"185","http://www.google.com","2022-09-25","2022-10-02","VU4F1920039","39"
"186","http://www.google.com","2022-09-12","2022-10-02","VU4F1920040","21"
"187","http://www.google.com","2022-09-07","2022-10-02","VU4F1920041","56"
"188","http://www.google.com","2022-09-07","2022-10-02","VU4F1920042","35"
"189","http://www.google.com","2022-09-07","2022-10-02","VU4F1920026","39"
"190","http://www.google.com","2022-09-19","2022-10-02","VU4F1920044","34"
"191","http://www.google.com","2022-09-26","2022-10-02","VU4F1920045","4"
"192","http://www.google.com","2022-09-14","2022-10-02","VU4F1920046","57"
"193","http://www.google.com","2022-09-14","2022-10-02","VU4F1920048","48"
"194","http://www.google.com","2022-09-05","2022-10-02","VU4F1920049","3"
"195","http://www.google.com","2022-08-31","2022-10-02","VU4F1920050","37"
"196","http://www.google.com","2022-09-12","2022-10-02","VU4F1920043","19"
"197","http://www.google.com","2022-09-04","2022-10-02","VU4F1920018","49"
"198","http://www.google.com","2022-09-20","2022-10-02","VU4F1920021","42"
"199","http://www.google.com","2022-09-04","2022-10-02","VU4F1920001","8"
"200","http://www.google.com","2022-09-13","2022-10-02","VU4F1920002","39"
"201","http://www.google.com","2022-09-19","2022-10-02","VU4F1920004","41"
"202","http://www.google.com","2022-09-05","2022-10-02","VU4F1920005","39"
"203","http://www.google.com","2022-09-27","2022-10-02","VU4F1920007","50"
"204","http://www.google.com","2022-09-25","2022-10-02","VU4F1920008","38"
"205","http://www.google.com","2022-09-22","2022-10-02","VU4F1920009","42"
"206","http://www.google.com","2022-09-07","2022-10-02","VU4F19200010","40"
"207","http://www.google.com","2022-09-11","2022-10-02","VU4F1920011","22"
"208","http://www.google.com","2022-09-27","2022-10-02","VU4F1920012","51"
"209","http://www.google.com","2022-09-04","2022-10-02","VU4F1920013","40"
"210","http://www.google.com","2022-09-06","2022-10-02","VU4F1920014","35"
"211","http://www.google.com","2022-09-28","2022-10-02","VU4F1920015","37"
